id;map_system;map_field;map_table;map_type;map_odoo_master
base.field_res_country_state__code;AIS-F;kommun_kod;arbetsgivare;;False
base.field_res_partner__active;AIS-F;arkiverad, raderad;arbetsgivare;;False
base.field_res_partner__comment;AIS-F;intern_information;arbetsgivare;;False
base.field_res_partner__company_name;AIS-F;ag_namn;arbetsgivare;;False
base.field_res_partner__email;AIS-F;epost;arbetsgivare;;False
base.field_res_partner__function;AIS-F;befattning;ag_kontaktperson;;False
base.field_res_partner__name;AIS-F;efternamn;ag_kontaktperson;;False
base.field_res_partner__phone;AIS-F;telnr;arbetsgivare;;False
base.field_res_partner__street;AIS-F;utdelningsadress;arbetsgivare;;False
base.field_res_partner__website;AIS-F;hemsida;arbetsgivare;;False
base.field_res_partner__zip;AIS-F;postnr;arbetsgivare;;False
base_map.field_ir_model_fields__map_comment;;;;;False
base_map.field_ir_model_fields__map_field;;;;;False
base_map.field_ir_model_fields__map_odoo_master;;;;;False
base_map.field_ir_model_fields__map_system;Testsystem;Testfield;Testtable;TestString;True
base_map.field_ir_model_fields__map_table;;;;;False
base_map.field_ir_model_fields__map_type;;;;;False
partner_employee360.field_res_partner__cfar;AIS-F;arbetsstallenr;arbetsgivare;;False
partner_employee360.field_res_partner__customer_nr;AIS-F;organisation_kundnr;arbetsgivare;;False
partner_employee360.field_res_partner__office_code;AIS-F;kontor_kod;arbetsgivare;;False
res_sni.field_res_partner__sni_ids;AIS-F;snikod_1, snikod_2,;arbetsgivare;;False
res_ssyk.field_res_partner__ssyk_ids;AIS-F;ssyk;ag_yrkesgrupp;;False
