id;model_id/id;map_id/target_system;map_id/target_field;map_id/target_table;map_id/target_type;map_id/odoo_master;
base.field_res_country_state__code;base.model_res_partner;AIS-F;kommun_kod;arbetsgivare;;False;
base.field_res_partner__active;base.model_res_partner;AIS-F;arkiverad raderad;arbetsgivare;;False;
base.field_res_partner__comment;base.model_res_partner;AIS-F;intern_information;arbetsgivare;;False;
base.field_res_partner__company_name;base.model_res_partner;AIS-F;ag_namn;arbetsgivare;;False;
base.field_res_partner__email;base.model_res_partner;AIS-F;epost;arbetsgivare;;False;
base.field_res_partner__function;base.model_res_partner;AIS-F;befattning;ag_kontaktperson;;False;
base.field_res_partner__name;base.model_res_partner;AIS-F;efternamn;ag_kontaktperson;;False;
base.field_res_partner__phone;base.model_res_partner;AIS-F;telnr;arbetsgivare;;False;
base.field_res_partner__street;base.model_res_partner;AIS-F;utdelningsadress;arbetsgivare;;False;
base.field_res_partner__website;base.model_res_partner;AIS-F;hemsida;arbetsgivare;;False;
base.field_res_partner__zip;base.model_res_partner;AIS-F;postnr;arbetsgivare;;False;
base_map.field_ir_model_fields__map_comment;base.model_res_partner;;;;;False;
base_map.field_ir_model_fields__map_field;base.model_res_partner;;;;;False;
base_map.field_ir_model_fields__map_odoo_master;base.model_res_partner;;;;;False;
base_map.field_ir_model_fields__map_system;base.model_res_partner;Testsystem;Testfield;Testtable;TestString;True;
base_map.field_ir_model_fields__map_table;base.model_res_partner;;;;;False;
base_map.field_ir_model_fields__map_type;base.model_res_partner;;;;;False;
partner_employee360.field_res_partner__cfar;base.model_res_partner;AIS-F;arbetsstallenr;arbetsgivare;;False;
partner_employee360.field_res_partner__customer_nr;base.model_res_partner;AIS-F;organisation_kundnr;arbetsgivare;;False;
partner_employee360.field_res_partner__office_code;base.model_res_partner;AIS-F;kontor_kod;arbetsgivare;;False;
res_sni.field_res_partner__sni_ids;base.model_res_partner;AIS-F;snikod_1, snikod_2,;arbetsgivare;;False;
res_ssyk.field_res_partner__ssyk_ids;base.model_res_partner;AIS-F;ssyk;ag_yrkesgrupp;;False;
