id;parent_id/id;name;description
activity_cat_1000;;Erbjudande:  Hitta jobb;
;;;
activity_cat_1100;activity_cat_1000;Tjänst: Min profil;
;;;
activity_cat_1110;activity_cat_1100;Göra Intresseguide ;Självservice
activity_cat_1111;activity_cat_1100;Lyssna på vår podcast ;Självservice
activity_cat_1112;activity_cat_1100;Komplettera dina meriter ;Självservice
activity_cat_1113;activity_cat_1100;Skapa en profil ;Självservice
activity_cat_1114;activity_cat_1100;Läsa på om validering ;Självservice
activity_cat_1115;activity_cat_1100;Självskatta kompetenser ;Självservice
activity_cat_1116;activity_cat_1100;Att välja yrke ;Självservice
activity_cat_1117;activity_cat_1100;Inspelade webbinarier ;Självservice
;;;
;;;
activity_cat_1120;activity_cat_1100;Kartläggningssamtal/planeringssamtal med arbetsförmedlare ;Personlig service
activity_cat_1121;activity_cat_1100;Verifiera meriter                    ;Personlig service
;;;
;;;
;;;
;;;
activity_cat_1200;activity_cat_1000;Tjänst: Koll på arbetsmarknaden;
;;;
activity_cat_1210;activity_cat_1200;Yrkeskompassen ;Självservice
;;;
activity_cat_1220;activity_cat_1200;;
activity_cat_1221;activity_cat_1200;Information om arbetsliv och hälsa (AR) ;Personlig service
activity_cat_1222;activity_cat_1200;Samtal med arbetsförmedlare ;Personlig service
;;;
;;;
;;;
;;;
activity_cat_1300;activity_cat_1000;Tjänst: Söka jobb;
;;;
activity_cat_1310;activity_cat_1300;Inspiration i jobbsökandet ;Självservice
activity_cat_1311;activity_cat_1300;Jobbansökan ;Självservice
activity_cat_1312;activity_cat_1300;Platsbanken ;Självservice
activity_cat_1313;activity_cat_1300;Platsbanken som app ;Självservice
activity_cat_1314;activity_cat_1300;Jobba utomlands  ;Självservice
;;;
;;;
;;;
activity_cat_1320;activity_cat_1300;Kartläggningssamtal/planeringssamtal med arbetsförmedlare ;Personlig service
activity_cat_1321;activity_cat_1300;Söka jobb-kurs ;Personlig service
activity_cat_1322;activity_cat_1300;Nytt jobb ;Personlig service
activity_cat_1323;activity_cat_1300;Euresrådgivare ;
activity_cat_1324;activity_cat_1300;Stöd av SIUS ;
activity_cat_1325;activity_cat_1300;Stöd och matchning (ETP)  ;
;;;
activity_cat_2000;activity_cat_1000;Erbjudande: Förbättra förutsättningarna;
;;                         ;
;;;
activity_cat_2100;activity_cat_2000;Tjänst: Steg till  arbete;
;;;
activity_cat_2110;activity_cat_2100;Göra intresseguide ;Självservice
activity_cat_2111;activity_cat_2100;Självskatta kompetenser ;Självservice
activity_cat_2112;activity_cat_2100;Hitta yrken ;Självservice
;;;
;;;
activity_cat_2120;activity_cat_2100;Arbetsträning ;Personlig service
activity_cat_2121;activity_cat_2100;Medicinska underlag ;Personlig service
activity_cat_2122;activity_cat_2100;Kartläggning, vägledning och rehabilitering ;Personlig service
activity_cat_2123;activity_cat_2100;Introduktion till arbete ;Personlig service
activity_cat_2124;activity_cat_2100;Ta reda på mina kompetenser och förutsättningar för arbete ;Personlig service
activity_cat_2125;activity_cat_2100;Anpassning av arbets-/studieplats med eller utan arbetshjälpmedel ;Personlig service
activity_cat_2126;activity_cat_2100;Stödsamtal ;Personlig service
activity_cat_2127;activity_cat_2100;Samtal ;Personlig service
;;;
;;;
;;;
activity_cat_2200;activity_cat_2000;Tjänst: Praktik och kompetensutveckling;
;;;
