"id","name","description"
"note_type_ag_02","2","Manuell"
"note_type_ag_04","4","Automatisk"
"note_type_as_00","0","Okänd"
"note_type_as_01","1","Programbeslut"
"note_type_as_02","2","Besöksbokning"
"note_type_as_03","3","Tjänsteanteckning"
"note_type_as_04","4","Kompletterande aktör"
"note_type_as_05","5","Etableringsanteckning"
"note_type_as_06","6","Etableringssamtal"
"note_type_as_07","7","Etableringsersättning"
"note_type_as_08","8","Aktivitetsrapportering"
"note_type_as_09","9","A-kassahändelse"
"note_type_as_10","10","Sanktioner"
"note_type_as_11","11","Utskick"
"note_type_as_12","12","Handlingsplansanteckning"
"note_type_as_13","13","Övrig Systemhändelse"
"note_type_as_14","14","Hjälpmedel"
"note_type_as_15","15","Sanktionsbeslut"
"note_type_as_16","16","Kundmeddelande"
"note_type_as_17","17","Omprövning"
"note_type_as_18","18","Ersattningsprovning"
"note_type_as_19","19","Läkarintyg"
"note_type_as_20","20","Kanalväljaren"
"note_type_as_21","21","Digital Signering"
