id,parent_id/id,code,name
sun_0,,0,Allmän utbildning
sun_1,,1,Pedagogik och lärarutbildning
sun_2,,2,Humaniora och konst
sun_3,,3,Samhällsvetenskap, juridik, handel, administration 
sun_4,,4,Naturvetenskap, matematik och informations- och kommunikationsteknik (IKT)
sun_5,,5,Teknik och tillverkning
sun_6,,6,Lant- och skogsbruk samt djursjukvård
sun_7,,7,Hälso- och sjukvård samt social omsorg
sun_8,,8,Tjänster
sun_9,,9,Okänd 
sun_01,sun_0,01,Bred, generell utbildning
sun_08,sun_0,08,Läs- och skrivinlärning för vuxna
sun_09,sun_0,09,Personlig utveckling
sun_14,sun_1,14,Pedagogik och lärarutbildning
sun_21,sun_2,21,Konst och media
sun_22,sun_2,22,Humaniora
sun_31,sun_3,31,Samhälls- och beteendevetenskap
sun_32,sun_3,32,Journalistik och information
sun_34,sun_3,34,Företagsekonomi, handel och administration
sun_38,sun_3,38,Juridik och rättsvetenskap
sun_42,sun_4,42,Biologi och miljövetenskap
sun_44,sun_4,44,Fysik, kemi och geovetenskap
sun_46,sun_4,46,Matematik och övrig naturvetenskap
sun_48,sun_4,48,Informations- och kommunikationsteknik (IKT)
sun_52,sun_5,52,Teknik och teknisk industri
sun_54,sun_5,54,Material och tillverkning
sun_58,sun_5,58,Samhällsbyggnad och byggnadsteknik
sun_62,sun_6,62,Lantbruk, trädgård, skog och fiske
sun_64,sun_6,64,Djursjukvård
sun_72,sun_7,72,Hälso- och sjukvård
sun_76,sun_7,76,Socialt arbete och omsorg
sun_81,sun_8,81,Personliga tjänster
sun_84,sun_8,84,Transporttjänster
sun_85,sun_8,85,Arbetsmiljö och renhållning
sun_86,sun_8,86,Säkerhetstjänster
sun_99,sun_9,99,Okänd
sun_010,sun_01,010,Bred, generell utbildning
sun_080,sun_08,080,Läs- och skrivinlärning för vuxna
sun_090,sun_09,090,Personlig utveckling
sun_140,sun_14,140,Pedagogik och lärarutbildning, allmän utbildning
sun_142,sun_14,142,Pedagogik
sun_143,sun_14,143,Lärarutbildning för förskola och fritidsverksamhet
sun_144,sun_14,144,Lärarutbildning för grundskolans tidiga åldrar
sun_145,sun_14,145,Ämneslärarutbildning
sun_146,sun_14,146,Lärarutbildning i yrkesämne och praktisk-estetiska ämnen
sun_149,sun_14,149,Pedagogik och lärarutbildning, övrig och ospecificerad utbildning
sun_210,sun_21,210,Konst och media, allmän utbildning
sun_211,sun_21,211,Bild- och formkonst
sun_212,sun_21,212,Musik, dans och dramatik
sun_213,sun_21,213,Medieproduktion
sun_214,sun_21,214,Formgivning
sun_215,sun_21,215,Konsthantverk
sun_219,sun_21,219,Konst och media, övrig och ospecificerad utbildning
sun_220,sun_22,220,Humaniora, allmän utbildning
sun_221,sun_22,221,Religion
sun_222,sun_22,222,Främmande språk och språkvetenskap
sun_223,sun_22,223,Svenska och litteraturvetenskap
sun_225,sun_22,225,Historia och arkeologi
sun_226,sun_22,226,Filosofi och logik
sun_229,sun_22,229,Humaniora, övrig och ospecificerad utbildning
sun_310,sun_31,310,Samhälls- och beteendevetenskap, allmän utbildning                                                    
sun_311,sun_31,311,Psykologi
sun_312,sun_31,312,Sociologi, etnologi och kulturgeografi
sun_313,sun_31,313,Statsvetenskap
sun_314,sun_31,314,Nationalekonomi och ekonomisk historia
sun_319,sun_31,319,Samhälls- och beteendevetenskap, övrig och ospecificerad utbildning
sun_320,sun_32,320,Journalistik och information, allmän utbildning
sun_321,sun_32,321,Journalistik och medievetenskap
sun_322,sun_32,322,Biblioteks- och dokumentationsvetenskap
sun_329,sun_32,329,Journalistik och information, övrig och ospecificerad utbildning
sun_340,sun_34,340,Företagsekonomi, handel och administration, allmän utbildning
sun_341,sun_34,341,Inköp, försäljning och distribution
sun_342,sun_34,342,Marknadsföring
sun_343,sun_34,343,Bank, försäkring och finansiering
sun_344,sun_34,344,Redovisning och beskattning
