"id","name","company_registry","street","zip","city","country_id/id","phone","email","website","lang","is_employer","is_company"
"part_employee_001","Apotek AB","202100-1868","Kastellgatan 1",413 07,"GÖTEBORG","base.se","078 347 81 76","info@apotek.se","www.apotek.se","sv_SE",SANT,SANT
"part_employee_002","Europabagaren AB","202100-1868","Klippgatan 1-3",171 47,"SOLNA","base.se","078 357 92 45","info@europabagaren.se","www.europabagaren.se","sv_SE",1,SANT
"part_employee_003","Tomra Systems AB","202100-0704","Djupdalsvägen 32",191 21,"SOLLENTUNA","base.se","073 398 72 97","info@tomra.se","www.tomra.se","sv_SE",1,SANT
"part_employee_004","Vemmab AB","224846-7373","Annelund Skälby",724 76,"VÄSTERÅS","base.se","070 926 80 12","info@vemmab.se","www.vemmab.se","sv_SE",1,SANT
"part_employee_005","Lidens Möbler AB","288823-2463","Box 85",783 22,"SÄTER","base.se","075 957 57 30","info@lidens.se","www.lidens.se","sv_SE",1,SANT
"part_employee_006","Golvcentralen L Westergren AB","354483-7389","Spillings Othem",620 30,"SLITE","base.se","073 453 23 22","info@golvcentralen.se","www.golvcentralen.se","sv_SE",1,SANT
"part_employee_007","Kantarellen AB","717699-8896","Storgatan 103",921 32,"LYCKSELE","base.se","072 616 84 21","info@kantarellen.se","www.kantarellen.se","sv_SE",1,SANT
"part_employee_008","Treston Group AB","489184-5844","Vargmötesvägen 13",186 30,"VALLENTUNA","base.se","076 408 89 83","info@treston.se","www.treston.se","sv_SE",1,SANT
"part_employee_009","Agaria AB","447712-8228","Box 140",184 22,"ÅKERSBERGA","base.se","072 210 65 60","info@agaria.se","www.agaria.se","sv_SE",1,SANT
"part_employee_010","Sea Bell AB","977552-4825","Hallmästarvägen 2-8",121 05,"JOHANNESHOV","base.se","071 705 08 25","info@sea.se","www.sea.se","sv_SE",1,SANT
"part_employee_011","Ljungmarks Industrier AB","539763-7238","Årstaskolgränd 16 A",117 43,"STOCKHOLM","base.se","071 996 00 55","info@ljungmarks.se","www.ljungmarks.se","sv_SE",1,SANT
"part_employee_012","Elfcon Containerservice AB","436524-9946","Nordatlanten",418 34,"GÖTEBORG","base.se","073 905 12 85","info@elfcon.se","www.elfcon.se","sv_SE",1,SANT
"part_employee_013","Spectrogon AB","453397-3198","kanalvägen 15",183 02,"TÄBY","base.se","075 137 07 67","info@spectrogon.se","www.spectrogon.se","sv_SE",1,SANT
"part_employee_014","Lipac Liftar AB","397194-3519","Missionsvägen 60-62",167 33,"BROMMA","base.se","079 371 53 29","info@lipac.se","www.lipac.se","sv_SE",1,SANT
