id,parent_id/id,code,name,description
ssyk_1,,1,1 Chefsyrken,Chefsyrken
ssyk_2,,2,2 Yrken med krav på fördjupad högskolekompetens,Yrken med krav på fördjupad högskolekompetens
ssyk_3,,3,3 Yrken med krav på högskolekompetens eller motsvarande,Yrken med krav på högskolekompetens eller motsvarande
ssyk_4,,4,4 Yrken inom administration och kundtjänst,Yrken inom administration och kundtjänst
ssyk_5,,5,5 Service-, omsorgs- och försäljningsyrken,Service-, omsorgs- och försäljningsyrken
ssyk_6,,6,6 Yrken inom lantbruk, trädgård, skogsbruk och fiske,Yrken inom lantbruk, trädgård, skogsbruk och fiske
ssyk_7,,7,7 Yrken inom byggverksamhet och tillverkning,Yrken inom byggverksamhet och tillverkning
ssyk_8,,8,8 Yrken inom maskinell tillverkning och transport m.m.,Yrken inom maskinell tillverkning och transport m.m.
ssyk_9,,9,9 Yrken med krav på kortare utbildning eller introduktion,Yrken med krav på kortare utbildning eller introduktion
ssyk_11,ssyk_1,11,11  Politiker, verkställande direktörer och högre ämbetsmän m.fl., Politiker, verkställande direktörer och högre ämbetsmän m.fl.
ssyk_12,ssyk_1,12,12  Chefer inom ekonomi, HR, marknadsföring och försäljning samt annan administration m.m., Chefer inom ekonomi, HR, marknadsföring och försäljning samt annan administration m.m.
ssyk_13,ssyk_1,13,13  Chefer inom IT, logistik, FoU, fastighetsbolag, bygg- och ingenjörsverksamhet samt tillverkning m.m., Chefer inom IT, logistik, FoU, fastighetsbolag, bygg- och ingenjörsverksamhet samt tillverkning m.m.
ssyk_14,ssyk_1,14,14  Chefer inom utbildning, Chefer inom utbildning
ssyk_15,ssyk_1,15,15  Chefer inom hälso- och sjukvård samt annan samhällsservice, Chefer inom hälso- och sjukvård samt annan samhällsservice
ssyk_16,ssyk_1,16,16  Chefer inom bank, finans och försäkring, Chefer inom bank, finans och försäkring
ssyk_17,ssyk_1,17,17  Chefer inom övrig servicenäring, Chefer inom övrig servicenäring
ssyk_21,ssyk_2,21,21  Yrken med krav på fördjupad högskolekompetens inom naturvetenskap och teknik, Yrken med krav på fördjupad högskolekompetens inom naturvetenskap och teknik
ssyk_22,ssyk_2,22,22  Yrken med krav på fördjupad högskolekompetens inom hälso- och sjukvård, Yrken med krav på fördjupad högskolekompetens inom hälso- och sjukvård
ssyk_23,ssyk_2,23,23  Yrken med krav på fördjupad högskolekompetens inom utbildning, Yrken med krav på fördjupad högskolekompetens inom utbildning
ssyk_24,ssyk_2,24,24  Yrken med krav på fördjupad högskolekompetens inom ekonomi och förvaltning, Yrken med krav på fördjupad högskolekompetens inom ekonomi och förvaltning
ssyk_25,ssyk_2,25,25  Yrken med krav på fördjupad högskolekompetens inom IT, Yrken med krav på fördjupad högskolekompetens inom IT
ssyk_26,ssyk_2,26,26  Yrken med krav på fördjupad högskolekompetens inom juridik, kultur och socialt arbete m.m., Yrken med krav på fördjupad högskolekompetens inom juridik, kultur och socialt arbete m.m.
ssyk_31,ssyk_3,31,31  Yrken med krav på högskolekompetens eller motsvarande inom teknik, Yrken med krav på högskolekompetens eller motsvarande inom teknik
ssyk_32,ssyk_3,32,32  Yrken med krav på högskolekompetens eller motsvarande inom hälso- och sjukvård samt laboratorium, Yrken med krav på högskolekompetens eller motsvarande inom hälso- och sjukvård samt laboratorium
ssyk_33,ssyk_3,33,33  Yrken med krav på högskolekompetens eller motsvarande inom ekonomi och förvaltning, Yrken med krav på högskolekompetens eller motsvarande inom ekonomi och förvaltning
ssyk_34,ssyk_3,34,34  Yrken med krav på högskolekompetens eller motsvarande inom kultur, friskvård och socialt arbete, Yrken med krav på högskolekompetens eller motsvarande inom kultur, friskvård och socialt arbete
ssyk_35,ssyk_3,35,35  Yrken med krav på högskolekompetens eller motsvarande inom IT, ljud- och ljusteknik m.m., Yrken med krav på högskolekompetens eller motsvarande inom IT, ljud- och ljusteknik m.m.
ssyk_41,ssyk_4,41,41  Kontorsassistenter och sekreterare, Kontorsassistenter och sekreterare
ssyk_42,ssyk_4,42,42  Kundserviceyrken, Kundserviceyrken
ssyk_43,ssyk_4,43,43  Yrken inom materialförvaltning m.m., Yrken inom materialförvaltning m.m.
ssyk_44,ssyk_4,44,44  Andra kontors- och kundserviceyrken, Andra kontors- och kundserviceyrken
ssyk_51,ssyk_5,51,51  Serviceyrken, Serviceyrken
ssyk_52,ssyk_5,52,52  Försäljningsyrken inom detaljhandeln m.m., Försäljningsyrken inom detaljhandeln m.m.
ssyk_53,ssyk_5,53,53  Omsorgsyrken, Omsorgsyrken
ssyk_54,ssyk_5,54,54  Andra bevaknings- och säkerhetsyrken, Andra bevaknings- och säkerhetsyrken
ssyk_61,ssyk_6,61,61  Lantbruks- och trädgårdsyrken, Lantbruks- och trädgårdsyrken
ssyk_62,ssyk_6,62,62  Skogsarbetare, fiskodlare och fiskare, Skogsarbetare, fiskodlare och fiskare
ssyk_71,ssyk_7,71,71  Byggnads- och anläggningsyrken, Byggnads- och anläggningsyrken
ssyk_72,ssyk_7,72,72  Metallhantverks- och reparatörsyrken, Metallhantverks- och reparatörsyrken
ssyk_73,ssyk_7,73,73  Finmekaniska, grafiska och konsthantverksyrken, Finmekaniska, grafiska och konsthantverksyrken
ssyk_74,ssyk_7,74,74  Installations- och serviceyrken inom el och elektronik, Installations- och serviceyrken inom el och elektronik
ssyk_75,ssyk_7,75,75  Andra hantverksyrken inom trä och textil m.m., Andra hantverksyrken inom trä och textil m.m.
ssyk_76,ssyk_7,76,76  Hantverksyrken inom livsmedel, Hantverksyrken inom livsmedel
ssyk_81,ssyk_8,81,81  Process- och maskinoperatörer, Process- och maskinoperatörer
ssyk_82,ssyk_8,82,82  Montörer, Montörer
ssyk_83,ssyk_8,83,83  Transport- och maskinföraryrken, Transport- och maskinföraryrken
ssyk_91,ssyk_9,91,91  Städyrken, Städyrken
ssyk_92,ssyk_9,92,92  Bärplockare och plantörer m.fl., Bärplockare och plantörer m.fl.
ssyk_93,ssyk_9,93,93  Andra yrken inom bygg, tillverkning och godshantering, Andra yrken inom bygg, tillverkning och godshantering
ssyk_94,ssyk_9,94,94  Snabbmatspersonal, köks- och restaurangbiträden m.fl., Snabbmatspersonal, köks- och restaurangbiträden m.fl.
ssyk_95,ssyk_9,95,95  Torg- och marknadsförsäljare, Torg- och marknadsförsäljare
ssyk_96,ssyk_9,96,96  Återvinningsarbetare, tidningsdistributörer och övriga servicearbetare, Återvinningsarbetare, tidningsdistributörer och övriga servicearbetare
ssyk_111,ssyk_11,111,111  Politiker och högre ämbetsmän, Politiker och högre ämbetsmän
ssyk_112,ssyk_11,112,112  Verkställande direktörer m.fl., Verkställande direktörer m.fl.
ssyk_121,ssyk_12,121,121  Ekonomi- och finanschefer, Ekonomi- och finanschefer
ssyk_122,ssyk_12,122,122  Personal- och HR-chefer, Personal- och HR-chefer
ssyk_123,ssyk_12,123,123  Förvaltnings- och planeringschefer, Förvaltnings- och planeringschefer
ssyk_124,ssyk_12,124,124  Informations-, kommunikations- och PR-chefer, Informations-, kommunikations- och PR-chefer
ssyk_125,ssyk_12,125,125  Försäljnings- och marknadschefer, Försäljnings- och marknadschefer
ssyk_129,ssyk_12,129,129  Övriga administrations- och servicechefer, Övriga administrations- och servicechefer
